,Last Name,Party,Full Name,ID
2382,ROUDA,D,"Rep. Rouda, Harley [D-CA-48]",2382
2469,GOLDEN,D,"Rep. Golden, Jared F. [D-ME-2]",2469
2426,ROSE,D,"Rep. Rose, Max [D-NY-11]",2426
2201,ADAMS,D,"Rep. Adams, Alma S. [D-NC-12]",2201
2255,WALKER,R,"Rep. Walker, Mark [R-NC-6]",2255
2424,TORRES SMALL,D,"Rep. Torres Small, Xochitl [D-NM-2]",2424
1742,COLE,R,"Rep. Cole, Tom [R-OK-4]",1742
1801,GOHMERT,R,"Rep. Gohmert, Louie [R-TX-1]",1801
2306,O'HALLERAN,D,"Rep. O'Halleran, Tom [D-AZ-1]",2306
2345,FITZPATRICK,R,"Rep. Fitzpatrick, Brian K. [R-PA-1]",2345
910,PETERSON,D,"Rep. Peterson, Collin C. [D-MN-7]",910
1962,SABLAN,D,"Del. Sablan, Gregorio Kilili Camacho [D-MP-At Large]",1962
1793,FORTENBERRY,R,"Rep. Fortenberry, Jeff [R-NE-1]",1793
1939,LUJAN,D,"Rep. Lujan, Ben Ray [D-NM-3]",1939
1704,ROGERS,R,"Rep. Rogers, Mike D. [R-AL-3]",1704
2096,DELBENE,D,"Rep. DelBene, Suzan K. [D-WA-1]",2096
2377,HARDER,D,"Rep. Harder, Josh [D-CA-10]",2377
1878,COHEN,D,"Rep. Cohen, Steve [D-TN-9]",1878
1151,THOMPSON,D,"Rep. Thompson, Bennie G. [D-MS-2]",1151
231,COOPER,D,"Rep. Cooper, Jim [D-TN-5]",231
2373,SCANLON,D,"Rep. Scanlon, Mary Gay [D-PA-5]",2373
930,PRICE,D,"Rep. Price, David E. [D-NC-4]",930
868,NORTON,D,"Del. Norton, Eleanor Holmes [D-DC-At Large]",868
2431,HORN,D,"Rep. Horn, Kendra S. [D-OK-5]",2431
2336,BUDD,R,"Rep. Budd, Ted [R-NC-13]",2336
2348,KUSTOFF,R,"Rep. Kustoff, David [R-TN-8]",2348
2380,CISNEROS,D,"Rep. Cisneros, Gilbert Ray, Jr. [D-CA-39]",2380
2107,CÁRDENAS,D,"Rep. Cárdenas, Tony [D-CA-29]",2107
1843,JOHNSON,D,"Rep. Johnson, Henry C. ""Hank,"" Jr. [D-GA-4]",1843
2423,HAALAND,D,"Rep. Haaland, Debra A. [D-NM-1]",2423
1708,GRIJALVA,D,"Rep. Grijalva, Raúl M. [D-AZ-3]",1708
1003,RUSH,D,"Rep. Rush, Bobby L. [D-IL-1]",1003
2097,PAYNE,D,"Rep. Payne, Donald M., Jr. [D-NJ-10]",2097
2410,TLAIB,D,"Rep. Tlaib, Rashida [D-MI-13]",2410
2122,GABBARD,D,"Rep. Gabbard, Tulsi [D-HI-2]",2122
2386,HAYES,D,"Rep. Hayes, Jahana [D-CT-5]",2386
1889,CARSON,D,"Rep. Carson, Andre [D-IN-7]",1889
2397,GARCIA,D,"Rep. Garcia, Jesus G. ""Chuy"" [D-IL-4]",2397
2332,RASKIN,D,"Rep. Raskin, Jamie [D-MD-8]",2332
1501,LEE,D,"Rep. Lee, Barbara [D-CA-13]",1501
887,PALLONE,D,"Rep. Pallone, Frank, Jr. [D-NJ-6]",887
2126,DAVIS,R,"Rep. Davis, Rodney [R-IL-13]",2126
1839,CASTOR,D,"Rep. Castor, Kathy [D-FL-14]",1839
1177,UPTON,R,"Rep. Upton, Fred [R-MI-6]",1177
1756,RYAN,D,"Rep. Ryan, Tim [D-OH-13]",1756
2399,UNDERWOOD,D,"Rep. Underwood, Lauren [D-IL-14]",2399
2430,GONZALEZ,R,"Rep. Gonzalez, Anthony [R-OH-16]",2430
2047,STIVERS,R,"Rep. Stivers, Steve [R-OH-15]",2047
91,BISHOP,D,"Rep. Bishop, Sanford D., Jr. [D-GA-2]",91
1807,CUELLAR,D,"Rep. Cuellar, Henry [D-TX-28]",1807
2436,RESCHENTHALER,R,"Rep. Reschenthaler, Guy [R-PA-14]",2436
2154,JOYCE,R,"Rep. Joyce, David P. [R-OH-14]",2154
1811,MOORE,D,"Rep. Moore, Gwen [D-WI-4]",1811
997,ROYBAL-ALLARD,D,"Rep. Roybal-Allard, Lucille [D-CA-40]",997
2406,TRONE,D,"Rep. Trone, David J. [D-MD-6]",2406
2190,KELLY,D,"Rep. Kelly, Robin L. [D-IL-2]",2190
1895,FUDGE,D,"Rep. Fudge, Marcia L. [D-OH-11]",1895
2319,SOTO,D,"Rep. Soto, Darren [D-FL-9]",2319
588,JACKSON LEE,D,"Rep. Jackson Lee, Sheila [D-TX-18]",588
2370,BALDERSON,R,"Rep. Balderson, Troy [R-OH-12]",2370
2395,AXNE,D,"Rep. Axne, Cynthia [D-IA-3]",2395
850,NADLER,D,"Rep. Nadler, Jerrold [D-NY-10]",850
2074,MCKINLEY,R,"Rep. McKinley, David B. [R-WV-1]",2074
2145,KUSTER,D,"Rep. Kuster, Ann M. [D-NH-2]",2145
2374,WILD,D,"Rep. Wild, Susan [D-PA-7]",2374
344,ENGEL,D,"Rep. Engel, Eliot L. [D-NY-16]",344
2004,WILSON,D,"Rep. Wilson, Frederica S. [D-FL-24]",2004
1853,YARMUTH,D,"Rep. Yarmuth, John A. [D-KY-3]",1853
2169,KILMER,D,"Rep. Kilmer, Derek [D-WA-6]",2169
1864,CLARKE,D,"Rep. Clarke, Yvette D. [D-NY-9]",1864
2389,STEUBE,R,"Rep. Steube, W. Gregory [R-FL-17]",2389
2115,YOHO,R,"Rep. Yoho, Ted S. [R-FL-3]",2115
2388,SPANO,R,"Rep. Spano, Ross [R-FL-15]",2388
2261,ZELDIN,R,"Rep. Zeldin, Lee M. [R-NY-1]",2261
2263,STEFANIK,R,"Rep. Stefanik, Elise M. [R-NY-21]",2263
2341,SUOZZI,D,"Rep. Suozzi, Thomas R. [D-NY-3]",2341
2422,SHERRILL,D,"Rep. Sherrill, Mikie [D-NJ-11]",2422
2437,CUNNINGHAM,D,"Rep. Cunningham, Joe [D-SC-1]",2437
